source_product_id,source_product_category,source_product_type,source_product_detail,source_unit_price,normalized_menu_name,normalized_category,target_menu_id,target_menu_name,target_base_price,keep,review_required
18,Loose Tea,Chai tea,Spicy Eye Opener Chai,10.95,,,,,,False,True
16,Loose Tea,Chai tea,Traditional Blend Chai,8.95,,,,,,False,True
15,Loose Tea,Green tea,Serenity Green Tea,9.25,,,,,,False,True
11,Loose Tea,Herbal tea,Lemon Grass,8.95,,,,,,False,True
12,Loose Tea,Herbal tea,Peppermint,8.95,,,,,,False,True
21,Packaged Chocolate,Drinking Chocolate,Chili Mayan,13.33,,,,,,False,True
19,Packaged Chocolate,Drinking Chocolate,Dark chocolate,6.4,,,,,,False,True
20,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,7.6,,,,,,False,True
51,Tea,Brewed Black tea,Earl Grey Lg,3.0,,,,,,False,True
50,Tea,Brewed Black tea,Earl Grey Rg,2.5,,,,,,False,True
49,Tea,Brewed Black tea,English Breakfast Lg,3.0,,,,,,False,True
48,Tea,Brewed Black tea,English Breakfast Rg,2.5,,,,,,False,True
55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4.0,,,,,,False,True
54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,,,,,,False,True
57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,,,,,,False,True
56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,,,,,,False,True
53,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,,,,,,False,True
52,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.5,,,,,,False,True
47,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,,,,,,False,True
46,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,,,,,,False,True
43,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,,,,,,False,True
42,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,,,,,,False,True
45,Tea,Brewed herbal tea,Peppermint Lg,3.0,,,,,,False,True
44,Tea,Brewed herbal tea,Peppermint Rg,2.5,,,,,,False,True
