session_uuid,kiosk_id,started_at,ended_at,estimated_gender,estimated_age_group,end_reason,is_simple_mode,help_triggered,status
session_R0048,1,2026-02-18T10:15:00,2026-02-18T10:30:00,F,50+,order_completed,0,0,ended
session_R0049,1,2026-12-12T17:14:00,2026-12-12T17:36:00,F,40~49,order_completed,0,0,ended
session_R0050,1,2026-10-04T07:48:00,2026-10-04T08:21:00,F,50+,order_completed,0,0,ended
session_R0051,1,2026-05-24T09:40:00,2026-05-24T10:15:00,M,20~29,order_completed,0,0,ended
session_R0052,1,2026-02-19T10:29:00,2026-02-19T11:04:00,M,30~39,order_completed,0,0,ended
session_R0053,1,2026-04-02T06:01:00,2026-04-02T06:33:00,F,20~29,order_completed,0,0,ended
session_R0054,1,2026-11-29T19:12:00,2026-11-29T19:37:00,M,20~29,order_completed,0,0,ended
session_R0055,1,2026-05-29T07:06:00,2026-05-29T07:49:00,M,30~39,order_completed,0,0,ended
session_R0056,1,2026-04-10T12:05:00,2026-04-10T12:44:00,F,40~49,order_completed,1,0,ended
session_R0057,1,2026-01-11T22:23:00,2026-01-11T23:17:00,F,50+,order_completed,1,1,ended
session_R0058,1,2026-08-11T12:22:00,2026-08-11T12:33:00,F,50+,order_completed,0,0,ended
session_R0059,1,2026-05-20T13:46:00,2026-05-20T14:07:00,F,30~39,order_completed,0,0,ended
session_R0060,1,2026-02-01T19:02:00,2026-02-01T19:41:00,M,30~39,order_completed,0,0,ended
session_R0061,1,2026-02-05T12:52:00,2026-02-05T13:34:00,M,30~39,order_completed,0,0,ended
session_R0062,1,2026-01-09T16:17:00,2026-01-09T17:00:00,M,20~29,order_completed,0,0,ended
session_R0063,1,2026-01-16T09:24:00,2026-01-16T09:53:00,M,30~39,order_completed,0,0,ended
session_R0064,1,2026-01-30T15:18:00,2026-01-30T15:28:00,M,50+,order_completed,0,0,ended
session_R0065,1,2026-02-18T06:13:00,2026-02-18T06:47:00,M,30~39,order_completed,0,0,ended
session_R0066,1,2026-08-08T12:37:00,2026-08-08T13:32:00,M,50+,order_completed,0,0,ended
session_R0067,1,2026-06-10T09:40:00,2026-06-10T10:37:00,M,30~39,order_completed,0,0,ended
session_R0068,1,2026-08-16T16:55:00,2026-08-16T17:36:00,F,50+,order_completed,0,0,ended
session_R0069,1,2026-12-20T11:22:00,2026-12-20T11:33:00,F,30~39,order_completed,0,0,ended
session_R0070,1,2026-04-14T22:30:00,2026-04-14T23:24:00,M,30~39,order_completed,1,0,ended
session_R0071,1,2026-06-04T20:13:00,2026-06-04T20:43:00,M,30~39,order_completed,0,0,ended
session_R0072,1,2026-01-23T20:45:00,2026-01-23T21:38:00,F,50+,order_completed,0,0,ended
session_R0073,1,2026-04-28T08:47:00,2026-04-28T09:08:00,F,50+,order_completed,0,0,ended
session_R0074,1,2026-04-12T09:17:00,2026-04-12T09:45:00,M,50+,order_completed,0,1,ended
session_R0075,1,2026-07-14T16:17:00,2026-07-14T16:52:00,F,50+,order_completed,0,0,ended
session_R0076,1,2026-09-16T19:31:00,2026-09-16T19:52:00,F,20~29,order_completed,0,0,ended
session_R0077,1,2026-04-30T14:59:00,2026-04-30T15:39:00,F,30~39,order_completed,0,0,ended
session_R0078,1,2026-08-20T20:14:00,2026-08-20T20:41:00,F,30~39,order_completed,0,0,ended
session_R0079,1,2026-09-04T09:37:00,2026-09-04T10:29:00,F,40~49,order_completed,1,0,ended
session_R0080,1,2026-05-11T15:06:00,2026-05-11T15:56:00,M,50+,order_completed,0,0,ended
session_R0081,1,2026-01-31T18:49:00,2026-01-31T18:57:00,F,50+,order_completed,0,1,ended
session_R0082,1,2026-12-15T07:04:00,2026-12-15T07:11:00,M,20~29,order_completed,1,0,ended
session_R0083,1,2026-12-12T20:05:00,2026-12-12T20:18:00,M,20~29,order_completed,1,0,ended
session_R0084,1,2026-06-20T14:07:00,2026-06-20T14:49:00,M,40~49,order_completed,0,0,ended
session_R0085,1,2026-07-28T11:29:00,2026-07-28T12:15:00,M,20~29,order_completed,0,0,ended
session_R0086,1,2026-03-18T06:10:00,2026-03-18T06:34:00,M,20~29,order_completed,0,0,ended
session_R0087,1,2026-07-21T22:33:00,2026-07-21T23:04:00,M,50+,order_completed,1,0,ended
session_R0088,1,2026-11-08T18:15:00,2026-11-08T19:05:00,M,50+,order_completed,0,0,ended
session_R0089,1,2026-02-24T16:06:00,2026-02-24T16:18:00,M,50+,order_completed,0,0,ended
session_R0090,1,2026-03-13T16:12:00,2026-03-13T17:11:00,F,50+,order_completed,0,0,ended
session_R0091,1,2026-09-08T12:34:00,2026-09-08T13:19:00,F,50+,order_completed,0,0,ended
session_R0092,1,2026-11-28T13:18:00,2026-11-28T13:54:00,F,30~39,order_completed,0,0,ended
session_R0093,1,2026-11-26T19:14:00,2026-11-26T20:04:00,F,30~39,order_completed,0,0,ended
session_R0094,1,2026-02-06T17:05:00,2026-02-06T17:32:00,M,20~29,order_completed,0,0,ended
session_R0095,1,2026-06-26T22:05:00,2026-06-26T22:41:00,F,30~39,order_completed,1,0,ended
session_R0096,1,2026-01-03T20:38:00,2026-01-03T21:06:00,F,20~29,order_completed,0,0,ended
session_R0097,1,2026-10-21T06:07:00,2026-10-21T06:37:00,M,50+,order_completed,0,0,ended
session_R0098,1,2026-07-05T09:16:00,2026-07-05T09:59:00,F,20~29,order_completed,0,0,ended
session_R0099,1,2026-03-30T09:16:00,2026-03-30T09:35:00,F,40~49,order_completed,0,1,ended
session_R0100,1,2026-12-22T18:28:00,2026-12-22T18:45:00,M,20~29,order_completed,0,0,ended
session_R0101,1,2026-12-21T16:46:00,2026-12-21T16:53:00,F,50+,order_completed,0,0,ended
session_R0102,1,2026-12-14T12:02:00,2026-12-14T12:27:00,M,40~49,order_completed,0,0,ended
session_R0103,1,2026-10-16T08:28:00,2026-10-16T08:42:00,F,40~49,order_completed,0,0,ended
session_R0104,1,2026-08-07T22:28:00,2026-08-07T22:56:00,F,20~29,order_completed,0,1,ended
session_R0105,1,2026-02-28T12:52:00,2026-02-28T13:07:00,M,50+,order_completed,0,0,ended
session_R0106,1,2026-12-02T18:16:00,2026-12-02T18:53:00,M,20~29,order_completed,0,0,ended
session_R0107,1,2026-12-24T19:51:00,2026-12-24T20:36:00,F,30~39,order_completed,0,0,ended
session_R0108,1,2026-06-05T11:38:00,2026-06-05T12:17:00,F,50+,order_completed,0,0,ended
session_R0109,1,2026-01-29T21:54:00,2026-01-29T22:28:00,F,30~39,order_completed,0,0,ended
session_R0110,1,2026-04-30T19:00:00,2026-04-30T19:22:00,M,40~49,order_completed,1,0,ended
session_R0111,1,2026-10-17T11:35:00,2026-10-17T12:18:00,F,20~29,order_completed,0,0,ended
session_R0112,1,2026-08-25T18:20:00,2026-08-25T18:48:00,M,30~39,order_completed,0,0,ended
session_R0113,1,2026-07-27T09:51:00,2026-07-27T10:29:00,F,30~39,order_completed,0,0,ended
session_R0114,1,2026-09-23T13:06:00,2026-09-23T13:13:00,M,20~29,order_completed,0,0,ended
session_R0115,1,2026-11-06T19:19:00,2026-11-06T19:30:00,F,40~49,order_completed,0,0,ended
session_R0116,1,2026-09-09T14:02:00,2026-09-09T14:29:00,M,30~39,order_completed,0,0,ended
session_R0117,1,2026-08-20T20:35:00,2026-08-20T21:32:00,F,50+,order_completed,0,0,ended
session_R0118,1,2026-08-31T10:55:00,2026-08-31T11:47:00,M,20~29,order_completed,0,0,ended
session_R0119,1,2026-05-17T13:38:00,2026-05-17T14:15:00,M,50+,order_completed,1,0,ended
session_R0120,1,2026-11-09T20:25:00,2026-11-09T20:43:00,F,20~29,order_completed,1,0,ended
session_R0121,1,2026-09-02T10:04:00,2026-09-02T10:17:00,F,30~39,order_completed,0,0,ended
session_R0122,1,2026-12-20T21:17:00,2026-12-20T21:33:00,F,40~49,order_completed,0,0,ended
session_R0123,1,2026-08-23T07:18:00,2026-08-23T07:38:00,M,40~49,order_completed,0,0,ended
session_R0124,1,2026-06-08T06:59:00,2026-06-08T07:36:00,F,20~29,order_completed,0,0,ended
session_R0125,1,2026-04-27T18:34:00,2026-04-27T19:24:00,M,30~39,order_completed,0,0,ended
session_R0126,1,2026-10-07T09:30:00,2026-10-07T10:00:00,F,30~39,order_completed,0,0,ended
session_R0127,1,2026-06-16T14:16:00,2026-06-16T15:08:00,M,40~49,order_completed,0,0,ended
session_R0128,1,2026-09-23T17:32:00,2026-09-23T17:44:00,M,50+,order_completed,0,0,ended
session_R0129,1,2026-04-20T13:46:00,2026-04-20T14:30:00,F,50+,order_completed,1,0,ended
session_R0130,1,2026-12-12T15:35:00,2026-12-12T15:43:00,M,50+,order_completed,0,1,ended
session_R0131,1,2026-10-21T08:10:00,2026-10-21T09:09:00,M,20~29,order_completed,0,0,ended
session_R0132,1,2026-06-18T08:09:00,2026-06-18T09:07:00,M,40~49,order_completed,0,1,ended
session_R0133,1,2026-07-20T18:56:00,2026-07-20T19:15:00,F,40~49,order_completed,0,1,ended
session_R0134,1,2026-01-01T09:19:00,2026-01-01T10:18:00,M,50+,order_completed,0,0,ended
session_R0135,1,2026-08-05T07:44:00,2026-08-05T08:23:00,F,30~39,order_completed,1,0,ended
session_R0136,1,2026-04-08T08:02:00,2026-04-08T08:16:00,F,40~49,order_completed,0,0,ended
session_R0137,1,2026-10-31T20:32:00,2026-10-31T21:01:00,F,30~39,order_completed,0,0,ended
session_R0138,1,2026-04-09T06:06:00,2026-04-09T06:38:00,F,20~29,order_completed,0,0,ended
session_R0139,1,2026-10-03T19:15:00,2026-10-03T19:30:00,F,40~49,order_completed,0,0,ended
session_R0140,1,2026-12-11T18:39:00,2026-12-11T19:33:00,F,50+,order_completed,0,0,ended
session_R0141,1,2026-09-07T06:50:00,2026-09-07T07:03:00,F,40~49,order_completed,0,0,ended
session_R0142,1,2026-11-03T06:32:00,2026-11-03T06:50:00,M,20~29,order_completed,0,0,ended
session_R0143,1,2026-05-21T12:58:00,2026-05-21T13:22:00,F,30~39,order_completed,0,0,ended
session_R0144,1,2026-11-29T18:58:00,2026-11-29T19:08:00,F,50+,order_completed,0,1,ended
session_R0145,1,2026-04-25T12:59:00,2026-04-25T13:51:00,F,50+,order_completed,0,0,ended
session_R0146,1,2026-01-21T08:23:00,2026-01-21T08:30:00,M,30~39,order_completed,1,1,ended
session_R0147,1,2026-12-02T18:42:00,2026-12-02T19:28:00,F,50+,order_completed,0,0,ended
session_R0148,1,2026-05-07T08:32:00,2026-05-07T08:48:00,F,30~39,order_completed,1,0,ended
session_R0149,1,2026-06-29T21:34:00,2026-06-29T22:12:00,F,40~49,order_completed,0,0,ended
session_R0150,1,2026-10-27T07:48:00,2026-10-27T08:41:00,M,30~39,order_completed,0,0,ended
session_R0151,1,2026-02-11T20:09:00,2026-02-11T20:39:00,F,30~39,order_completed,0,0,ended
session_R0152,1,2026-08-23T17:04:00,2026-08-23T17:58:00,F,30~39,order_completed,0,0,ended
session_R0153,1,2026-04-06T16:40:00,2026-04-06T17:04:00,M,50+,order_completed,0,0,ended
session_R0154,1,2026-01-22T10:44:00,2026-01-22T11:12:00,F,50+,order_completed,0,0,ended
session_R0155,1,2026-03-15T13:31:00,2026-03-15T14:20:00,M,40~49,order_completed,1,0,ended
session_R0156,1,2026-10-18T06:54:00,2026-10-18T07:51:00,M,40~49,order_completed,1,0,ended
session_R0157,1,2026-01-26T08:36:00,2026-01-26T09:00:00,F,20~29,order_completed,0,0,ended
session_R0158,1,2026-09-22T07:28:00,2026-09-22T08:27:00,F,40~49,order_completed,0,0,ended
session_R0159,1,2026-12-24T21:26:00,2026-12-24T21:32:00,F,30~39,order_completed,0,0,ended
session_R0160,1,2026-10-03T07:56:00,2026-10-03T08:19:00,F,40~49,order_completed,0,0,ended
session_R0161,1,2026-02-12T08:02:00,2026-02-12T08:42:00,F,40~49,order_completed,0,0,ended
session_R0162,1,2026-07-12T12:18:00,2026-07-12T13:10:00,M,20~29,order_completed,0,0,ended
session_R0163,1,2026-10-27T17:22:00,2026-10-27T17:51:00,F,20~29,order_completed,0,1,ended
session_R0164,1,2026-06-23T17:08:00,2026-06-23T17:50:00,M,40~49,order_completed,0,0,ended
session_R0165,1,2026-04-20T14:15:00,2026-04-20T14:45:00,F,40~49,order_completed,0,1,ended
session_R0166,1,2026-05-20T21:03:00,2026-05-20T21:36:00,F,50+,order_completed,0,0,ended
session_R0167,1,2026-09-08T07:48:00,2026-09-08T08:39:00,F,50+,order_completed,1,0,ended
session_R0168,1,2026-02-26T07:02:00,2026-02-26T07:46:00,F,50+,order_completed,0,0,ended
session_R0169,1,2026-09-24T06:28:00,2026-09-24T06:41:00,F,20~29,order_completed,0,0,ended
session_R0170,1,2026-10-13T06:31:00,2026-10-13T06:55:00,M,50+,order_completed,0,0,ended
session_R0171,1,2026-11-28T15:24:00,2026-11-28T15:49:00,F,40~49,order_completed,0,1,ended
session_R0172,1,2026-02-27T10:03:00,2026-02-27T10:40:00,F,40~49,order_completed,1,0,ended
session_R0173,1,2026-05-04T17:04:00,2026-05-04T17:17:00,F,40~49,order_completed,0,0,ended
session_R0174,1,2026-11-04T09:12:00,2026-11-04T10:00:00,F,40~49,order_completed,0,0,ended
session_R0175,1,2026-01-04T14:32:00,2026-01-04T15:28:00,F,40~49,order_completed,0,0,ended
session_R0176,1,2026-04-28T13:29:00,2026-04-28T14:25:00,M,20~29,order_completed,0,0,ended
session_R0177,1,2026-10-09T22:32:00,2026-10-09T23:31:00,M,40~49,order_completed,0,0,ended
session_R0178,1,2026-10-09T10:55:00,2026-10-09T11:33:00,F,40~49,order_completed,0,0,ended
session_R0179,1,2026-06-07T11:00:00,2026-06-07T11:33:00,M,30~39,order_completed,0,0,ended
session_R0180,1,2026-08-26T16:56:00,2026-08-26T17:46:00,F,50+,order_completed,0,0,ended
session_R0181,1,2026-04-03T18:01:00,2026-04-03T18:32:00,F,20~29,order_completed,0,0,ended
session_R0182,1,2026-11-02T19:36:00,2026-11-02T20:00:00,F,40~49,order_completed,0,0,ended
session_R0183,1,2026-12-03T22:12:00,2026-12-03T22:33:00,M,50+,order_completed,0,0,ended
session_R0184,1,2026-03-13T10:50:00,2026-03-13T11:34:00,F,30~39,order_completed,1,0,ended
session_R0185,1,2026-09-09T17:53:00,2026-09-09T18:50:00,F,50+,order_completed,0,0,ended
session_R0186,1,2026-09-20T21:07:00,2026-09-20T21:20:00,M,30~39,order_completed,0,1,ended
session_R0187,1,2026-01-24T06:33:00,2026-01-24T07:16:00,M,20~29,order_completed,0,0,ended
session_R0188,1,2026-01-08T08:57:00,2026-01-08T09:39:00,M,30~39,order_completed,0,0,ended
session_R0189,1,2026-09-25T09:06:00,2026-09-25T09:36:00,M,30~39,order_completed,0,0,ended
session_R0190,1,2026-04-19T06:30:00,2026-04-19T07:00:00,M,20~29,order_completed,0,1,ended
session_R0191,1,2026-11-07T14:24:00,2026-11-07T15:21:00,M,40~49,order_completed,0,0,ended
session_R0192,1,2026-02-03T11:35:00,2026-02-03T12:08:00,F,20~29,order_completed,0,0,ended
session_R0193,1,2026-04-20T13:21:00,2026-04-20T14:14:00,M,50+,order_completed,0,0,ended
session_R0194,1,2026-04-21T19:52:00,2026-04-21T20:50:00,M,20~29,order_completed,0,0,ended
session_R0195,1,2026-05-01T11:03:00,2026-05-01T11:22:00,F,20~29,order_completed,0,0,ended
session_R0196,1,2026-03-31T14:38:00,2026-03-31T15:20:00,M,40~49,order_completed,1,0,ended
session_R0197,1,2026-08-14T14:31:00,2026-08-14T15:24:00,F,50+,order_completed,0,0,ended
session_R0198,1,2026-12-06T07:32:00,2026-12-06T07:53:00,M,40~49,order_completed,1,0,ended
session_R0199,1,2026-03-12T13:32:00,2026-03-12T13:46:00,M,40~49,order_completed,0,1,ended
session_R0200,1,2026-05-18T20:12:00,2026-05-18T20:52:00,F,50+,order_completed,0,0,ended
session_R0201,1,2026-12-21T12:23:00,2026-12-21T12:42:00,M,30~39,order_completed,0,0,ended
session_R0202,1,2026-08-04T09:48:00,2026-08-04T10:05:00,F,30~39,order_completed,0,0,ended
session_R0203,1,2026-08-09T14:44:00,2026-08-09T15:02:00,F,20~29,order_completed,0,0,ended
session_R0204,1,2026-03-13T13:41:00,2026-03-13T14:25:00,M,50+,order_completed,0,0,ended
session_R0205,1,2026-03-02T08:03:00,2026-03-02T08:42:00,M,40~49,order_completed,0,0,ended
session_R0206,1,2026-01-27T13:08:00,2026-01-27T13:35:00,M,20~29,order_completed,1,0,ended
session_R0207,1,2026-01-06T09:09:00,2026-01-06T09:14:00,F,30~39,order_completed,1,0,ended
session_R0208,1,2026-03-04T18:28:00,2026-03-04T19:21:00,F,40~49,order_completed,0,0,ended
session_R0209,1,2026-02-23T14:50:00,2026-02-23T15:42:00,M,50+,order_completed,0,0,ended
session_R0210,1,2026-12-11T08:50:00,2026-12-11T09:42:00,F,40~49,order_completed,0,0,ended
session_R0211,1,2026-02-12T12:01:00,2026-02-12T12:32:00,F,30~39,order_completed,0,0,ended
session_R0212,1,2026-08-26T22:28:00,2026-08-26T22:46:00,F,50+,order_completed,1,0,ended
session_R0213,1,2026-05-10T16:51:00,2026-05-10T17:09:00,M,50+,order_completed,1,0,ended
session_R0214,1,2026-01-20T20:07:00,2026-01-20T20:28:00,M,30~39,order_completed,0,0,ended
session_R0215,1,2026-08-18T17:51:00,2026-08-18T18:47:00,F,30~39,order_completed,0,0,ended
session_R0216,1,2026-07-16T11:37:00,2026-07-16T12:14:00,F,50+,order_completed,0,0,ended
session_R0217,1,2026-11-07T10:55:00,2026-11-07T11:34:00,M,40~49,order_completed,0,1,ended
session_R0218,1,2026-09-21T12:56:00,2026-09-21T13:38:00,F,30~39,order_completed,0,0,ended
session_R0219,1,2026-07-15T10:58:00,2026-07-15T11:19:00,M,50+,order_completed,0,0,ended
session_R0220,1,2026-04-06T14:32:00,2026-04-06T14:37:00,M,30~39,order_completed,1,1,ended
session_R0221,1,2026-09-03T12:32:00,2026-09-03T12:38:00,M,20~29,order_completed,1,0,ended
session_R0222,1,2026-07-15T07:28:00,2026-07-15T08:27:00,F,40~49,order_completed,0,0,ended
session_R0223,1,2026-06-21T14:14:00,2026-06-21T15:12:00,F,30~39,order_completed,0,0,ended
session_R0224,1,2026-12-19T22:45:00,2026-12-19T23:01:00,F,40~49,order_completed,1,0,ended
session_R0225,1,2026-12-03T13:06:00,2026-12-03T13:47:00,M,40~49,order_completed,0,0,ended
session_R0226,1,2026-03-25T10:46:00,2026-03-25T10:58:00,F,30~39,order_completed,0,0,ended
session_R0227,1,2026-09-27T08:59:00,2026-09-27T09:52:00,M,40~49,order_completed,0,0,ended
session_R0228,1,2026-04-30T16:30:00,2026-04-30T16:42:00,M,40~49,order_completed,0,0,ended
session_R0229,1,2026-05-21T22:48:00,2026-05-21T23:14:00,M,50+,order_completed,1,0,ended
session_R0230,1,2026-07-24T22:50:00,2026-07-24T23:17:00,M,30~39,order_completed,0,0,ended
session_R0231,1,2026-11-16T19:25:00,2026-11-16T19:41:00,M,40~49,order_completed,0,0,ended
session_R0232,1,2026-09-08T22:59:00,2026-09-08T23:28:00,M,20~29,order_completed,0,0,ended
session_R0233,1,2026-04-26T09:40:00,2026-04-26T09:47:00,F,40~49,order_completed,1,0,ended
session_R0234,1,2026-12-10T16:10:00,2026-12-10T16:36:00,M,40~49,order_completed,0,0,ended
session_R0235,1,2026-09-17T16:37:00,2026-09-17T17:02:00,F,30~39,order_completed,0,0,ended
session_R0236,1,2026-06-29T20:59:00,2026-06-29T21:55:00,M,30~39,order_completed,1,0,ended
session_R0237,1,2026-10-12T06:52:00,2026-10-12T07:16:00,F,40~49,order_completed,0,0,ended
session_R0238,1,2026-10-19T19:05:00,2026-10-19T19:46:00,M,50+,order_completed,0,0,ended
session_R0239,1,2026-09-18T21:58:00,2026-09-18T22:05:00,M,30~39,order_completed,1,0,ended
session_R0240,1,2026-03-24T08:06:00,2026-03-24T08:42:00,M,50+,order_completed,0,1,ended
session_R0241,1,2026-08-26T20:00:00,2026-08-26T20:25:00,F,20~29,order_completed,1,0,ended
session_R0242,1,2026-01-26T06:39:00,2026-01-26T07:04:00,F,30~39,order_completed,1,0,ended
session_R0243,1,2026-08-13T07:26:00,2026-08-13T07:49:00,M,30~39,order_completed,0,0,ended
session_R0244,1,2026-07-11T16:47:00,2026-07-11T17:03:00,F,50+,order_completed,0,0,ended
session_R0245,1,2026-10-08T22:14:00,2026-10-08T23:12:00,M,50+,order_completed,0,0,ended
session_R0246,1,2026-08-12T12:08:00,2026-08-12T12:40:00,M,50+,order_completed,0,0,ended
session_R0247,1,2026-01-15T21:27:00,2026-01-15T22:22:00,M,30~39,order_completed,1,0,ended
session_R0248,1,2026-12-17T07:04:00,2026-12-17T08:03:00,F,20~29,order_completed,1,0,ended
session_R0249,1,2026-09-01T13:33:00,2026-09-01T13:49:00,F,50+,order_completed,0,0,ended
session_R0250,1,2026-01-21T17:46:00,2026-01-21T18:44:00,M,50+,order_completed,0,0,ended
session_R0251,1,2026-01-22T06:36:00,2026-01-22T07:16:00,M,40~49,order_completed,0,0,ended
session_R0252,1,2026-07-20T21:38:00,2026-07-20T22:17:00,F,40~49,order_completed,1,0,ended
session_R0253,1,2026-01-13T13:10:00,2026-01-13T13:23:00,F,40~49,order_completed,0,1,ended
session_R0254,1,2026-02-08T19:29:00,2026-02-08T19:46:00,M,20~29,order_completed,0,0,ended
session_R0255,1,2026-08-11T17:12:00,2026-08-11T17:44:00,M,40~49,order_completed,0,0,ended
session_R0256,1,2026-10-26T14:24:00,2026-10-26T14:34:00,M,50+,order_completed,0,0,ended
session_R0257,1,2026-10-30T21:41:00,2026-10-30T21:59:00,F,30~39,order_completed,0,0,ended
session_R0258,1,2026-04-07T18:42:00,2026-04-07T19:03:00,F,50+,order_completed,0,0,ended
session_R0259,1,2026-09-23T14:57:00,2026-09-23T15:31:00,F,50+,order_completed,0,1,ended
session_R0260,1,2026-01-08T20:30:00,2026-01-08T21:00:00,F,20~29,order_completed,0,0,ended
session_R0261,1,2026-06-11T12:36:00,2026-06-11T12:49:00,F,30~39,order_completed,0,0,ended
session_R0262,1,2026-06-30T20:20:00,2026-06-30T20:42:00,M,20~29,order_completed,1,0,ended
session_R0263,1,2026-01-14T09:35:00,2026-01-14T10:06:00,M,50+,order_completed,0,0,ended
session_R0264,1,2026-07-11T16:14:00,2026-07-11T16:40:00,F,40~49,order_completed,0,0,ended
session_R0265,1,2026-12-24T15:12:00,2026-12-24T15:48:00,F,40~49,order_completed,0,0,ended
session_R0266,1,2026-09-11T12:07:00,2026-09-11T13:00:00,F,40~49,order_completed,0,0,ended
session_R0267,1,2026-12-10T10:07:00,2026-12-10T11:05:00,F,30~39,order_completed,0,0,ended
session_R0268,1,2026-12-01T21:58:00,2026-12-01T22:50:00,M,40~49,order_completed,0,0,ended
