id,session_id,created_at,preferred_category,recommendation_type,recommended_menu_id,was_clicked,led_to_order
129,689,2025-02-16 21:31:00,juice,suggest,22,1,1
130,694,2025-04-24 13:08:00,ade,situation,19,1,0
131,700,2025-07-08 16:57:00,juice,situation,22,1,1
132,700,2025-07-08 16:57:00,tea,situation,30,1,1
133,701,2025-05-23 12:50:00,frappe,suggest,13,0,0
134,707,2025-12-27 07:34:00,tea,suggest,27,1,0
135,712,2025-07-21 12:30:00,ade,suggest,24,1,0
136,713,2025-06-07 16:46:00,tea,situation,17,1,0
137,715,2025-07-13 19:39:00,frappe,suggest,26,0,0
138,716,2025-06-13 11:30:00,cappuccino,situation,6,0,0
139,734,2025-01-23 08:21:00,coldbrew,suggest,7,0,0
140,740,2025-10-26 16:07:00,frappe,suggest,12,1,0
141,742,2025-12-07 09:24:00,tea,situation,15,1,0
142,745,2025-04-28 09:12:00,tea,suggest,17,0,0
143,749,2025-11-12 15:21:00,americano,situation,3,1,1
144,757,2025-04-13 14:38:00,latte,situation,5,1,1
145,758,2025-12-28 07:23:00,americano,situation,2,0,0
146,767,2025-09-05 09:04:00,smoothie,situation,20,1,1
147,767,2025-09-05 09:04:00,frappe,suggest,26,0,0
148,769,2025-03-06 15:53:00,smoothie,suggest,21,1,1
149,785,2025-08-15 07:26:00,latte,situation,23,1,1
150,790,2025-01-31 15:48:00,latte,suggest,23,0,0
151,801,2025-04-10 07:35:00,coldbrew,situation,7,1,1
152,801,2025-04-10 07:35:00,non-coffee,situation,14,0,0
153,806,2025-10-21 12:08:00,ade,suggest,19,1,1
154,806,2025-10-21 12:08:00,latte,suggest,4,1,0
155,812,2025-09-01 21:25:00,latte,suggest,11,1,1
156,818,2025-01-09 14:06:00,non-coffee,situation,14,1,1
157,823,2025-09-25 18:24:00,tea,situation,28,1,1
158,832,2025-06-09 12:18:00,espresso,suggest,1,0,0
159,834,2025-07-17 16:47:00,tea,situation,28,1,1
160,844,2025-07-19 09:20:00,tea,situation,15,1,0
161,844,2025-07-19 09:20:00,latte,situation,11,1,0
162,854,2025-05-20 13:14:00,americano,situation,2,1,1
163,854,2025-05-20 13:14:00,latte,situation,10,1,0
164,856,2025-10-24 12:20:00,frappe,situation,25,0,0
165,862,2025-04-17 09:44:00,tea,suggest,17,1,1
166,863,2025-01-27 11:33:00,tea,situation,27,0,0
167,864,2025-12-02 08:26:00,tea,situation,16,1,1
168,871,2025-02-19 17:21:00,latte,situation,4,0,0
169,871,2025-02-19 17:21:00,juice,suggest,22,1,0
170,873,2025-10-04 18:33:00,latte,situation,5,1,0
171,884,2025-10-22 11:27:00,ade,situation,18,1,1
172,887,2025-03-22 15:47:00,smoothie,situation,32,0,0
173,887,2025-03-22 15:47:00,tea,situation,16,1,1
174,894,2025-01-24 12:27:00,smoothie,suggest,20,1,1
175,896,2025-11-06 12:16:00,tea,situation,16,0,0
176,896,2025-11-06 12:16:00,coldbrew,situation,8,0,0
177,915,2025-01-03 07:06:00,coldbrew,situation,8,0,0
178,920,2025-12-24 14:49:00,latte,situation,4,0,0
179,927,2025-09-09 15:00:00,tea,situation,16,1,1
180,944,2025-09-29 15:01:00,smoothie,situation,20,1,0
181,944,2025-09-29 15:01:00,cappuccino,suggest,6,1,1
182,952,2025-10-05 13:48:00,ade,situation,18,0,0
183,954,2025-11-11 13:17:00,smoothie,situation,20,0,0
184,971,2025-10-30 16:16:00,cappuccino,situation,6,1,1
185,974,2025-04-18 19:45:00,latte,suggest,23,1,1
186,974,2025-04-18 19:45:00,tea,situation,27,0,0
187,975,2025-08-24 18:24:00,tea,situation,31,1,1
188,979,2025-10-13 16:54:00,frappe,suggest,26,0,0
189,981,2025-06-19 21:00:00,tea,suggest,28,0,0
190,991,2025-07-16 12:44:00,tea,situation,16,1,1
191,1000,2025-03-25 12:51:00,tea,situation,27,1,0
192,1005,2025-12-01 11:51:00,cappuccino,situation,6,1,0
193,1005,2025-12-01 11:51:00,coldbrew,situation,7,1,1
194,1012,2025-12-04 09:55:00,latte,suggest,23,0,0
195,1012,2025-12-04 09:55:00,latte,situation,23,0,0
196,1018,2025-01-13 19:00:00,tea,situation,28,0,0
197,1020,2025-07-21 15:32:00,latte,suggest,23,1,1
198,1024,2025-03-28 12:44:00,non-coffee,situation,14,0,0
199,1029,2025-10-19 19:47:00,ade,suggest,19,1,1
200,1030,2025-02-15 14:44:00,latte,suggest,23,0,0
201,1030,2025-02-15 14:44:00,tea,situation,16,1,1
202,1035,2025-07-19 19:15:00,non-coffee,situation,14,0,0
203,1035,2025-07-19 19:15:00,non-coffee,situation,14,1,0
204,1040,2025-02-17 22:06:00,non-coffee,suggest,14,0,0
205,1045,2025-01-25 16:30:00,tea,situation,29,1,1
206,1045,2025-01-25 16:30:00,tea,situation,16,1,0
207,1056,2025-11-17 16:45:00,tea,situation,28,1,0
208,1056,2025-11-17 16:45:00,americano,suggest,2,1,1
209,1066,2025-07-28 15:30:00,frappe,situation,25,1,0
210,1069,2025-03-06 15:26:00,tea,situation,16,1,1
211,1069,2025-03-06 15:26:00,frappe,suggest,13,1,1
212,1074,2025-04-08 13:01:00,ade,situation,18,1,0
213,1074,2025-04-08 13:01:00,tea,suggest,31,1,1
214,1088,2025-04-02 14:09:00,non-coffee,situation,14,0,0
215,1093,2025-11-09 17:05:00,tea,situation,30,1,1
216,1101,2025-03-24 18:46:00,tea,suggest,16,1,1
217,1116,2025-04-10 11:43:00,latte,situation,11,0,0
218,1116,2025-04-10 11:43:00,frappe,situation,13,1,1
219,1120,2025-04-08 07:25:00,juice,situation,22,0,0
220,1125,2025-09-23 09:05:00,coldbrew,situation,7,0,0
221,1125,2025-09-23 09:05:00,cappuccino,situation,6,0,0
222,1126,2025-03-20 18:15:00,cappuccino,suggest,6,1,1
223,1138,2025-10-29 16:21:00,tea,situation,31,0,0
224,1152,2025-11-05 13:26:00,espresso,situation,1,1,0
225,1158,2025-03-27 13:07:00,ade,situation,24,1,0
226,1158,2025-03-27 13:07:00,frappe,situation,13,0,0
227,1159,2025-12-22 08:18:00,tea,situation,17,0,0
228,1170,2025-08-05 08:08:00,tea,situation,15,1,1
229,1172,2025-11-08 18:29:00,tea,situation,16,1,1
230,1175,2025-03-24 16:55:00,tea,situation,29,1,1
231,1182,2025-03-27 12:00:00,tea,suggest,29,0,0
232,1182,2025-03-27 12:00:00,tea,suggest,30,0,0
233,1183,2025-10-10 19:55:00,latte,situation,4,1,1
234,1184,2025-10-05 15:56:00,tea,situation,17,1,1
235,1186,2025-03-30 21:39:00,latte,situation,11,0,0
236,1186,2025-03-30 21:39:00,smoothie,suggest,21,0,0
237,1198,2025-01-12 07:10:00,latte,situation,10,1,1
238,1198,2025-01-12 07:10:00,ade,situation,24,0,0
239,1203,2025-12-26 08:10:00,cappuccino,situation,6,1,0
240,1203,2025-12-26 08:10:00,tea,situation,29,1,0
241,1204,2025-08-01 11:24:00,cappuccino,situation,6,0,0
242,1206,2025-08-11 16:34:00,tea,situation,29,0,0
243,1207,2025-02-14 11:29:00,latte,situation,23,1,1
244,1214,2025-01-16 16:19:00,tea,situation,31,1,1
245,1228,2025-01-11 11:27:00,frappe,suggest,13,0,0
246,1229,2025-11-20 17:17:00,non-coffee,situation,14,0,0
247,1229,2025-11-20 17:17:00,tea,situation,27,1,0
248,1243,2025-05-27 21:16:00,cappuccino,situation,6,0,0
249,1257,2025-08-09 17:14:00,latte,situation,10,1,0
250,1257,2025-08-09 17:14:00,ade,suggest,24,0,0
251,1260,2025-02-09 19:20:00,frappe,situation,12,1,1
252,1260,2025-02-09 19:20:00,tea,suggest,17,0,0
253,1261,2025-09-12 15:16:00,tea,situation,31,0,0
254,1284,2025-06-11 13:51:00,frappe,situation,12,0,0
255,1288,2025-05-24 18:06:00,tea,suggest,30,1,0
256,1288,2025-05-24 18:06:00,tea,situation,16,1,0
257,1298,2025-06-28 09:25:00,tea,situation,17,1,1
258,1301,2025-07-31 22:50:00,ade,suggest,19,0,0
259,1302,2025-02-15 09:44:00,latte,situation,11,1,1
260,1303,2025-12-07 17:01:00,latte,suggest,11,0,0
261,1327,2025-09-08 22:38:00,tea,situation,29,1,1
262,1327,2025-09-08 22:38:00,tea,suggest,27,1,1
263,1333,2025-06-05 11:38:00,frappe,suggest,25,1,1
264,1335,2025-07-19 19:07:00,frappe,suggest,12,1,1
265,1339,2025-11-24 17:42:00,smoothie,situation,32,0,0
266,1340,2025-06-10 17:11:00,latte,suggest,23,1,0
267,1352,2025-11-18 09:49:00,latte,suggest,4,1,0
268,1354,2025-09-27 07:49:00,latte,situation,23,1,0
269,1357,2025-07-28 14:10:00,smoothie,situation,32,0,0
270,1360,2025-05-10 11:23:00,latte,situation,11,1,0
271,1360,2025-05-10 11:23:00,juice,situation,22,1,1
272,1361,2025-10-08 15:10:00,tea,situation,27,1,1
273,1361,2025-10-08 15:10:00,ade,situation,24,0,0
274,1365,2025-09-26 14:38:00,tea,situation,27,1,0
275,1392,2025-06-24 07:49:00,tea,situation,31,1,0
276,1392,2025-06-24 07:49:00,smoothie,situation,20,0,0
277,1396,2025-04-09 14:56:00,latte,situation,11,0,0
278,1403,2025-04-10 11:12:00,latte,situation,23,1,1
279,1407,2025-09-27 13:33:00,smoothie,suggest,20,1,1
280,1412,2025-06-24 11:21:00,tea,situation,16,1,0
281,1420,2025-04-18 12:13:00,latte,suggest,23,0,0
282,1420,2025-04-18 12:13:00,coldbrew,situation,7,1,1
283,1422,2025-09-06 21:19:00,ade,situation,19,0,0
284,1422,2025-09-06 21:19:00,coldbrew,situation,7,1,0
285,1427,2025-07-05 11:07:00,tea,suggest,29,1,0
286,1427,2025-07-05 11:07:00,frappe,situation,13,0,0
287,1434,2025-08-28 08:01:00,latte,suggest,4,0,0
288,1452,2025-08-09 21:23:00,latte,situation,23,0,0
289,1452,2025-08-09 21:23:00,tea,suggest,15,0,0
290,1453,2025-11-09 16:28:00,tea,situation,16,0,0
291,1457,2025-09-20 21:33:00,frappe,situation,12,0,0
292,1457,2025-09-20 21:33:00,ade,suggest,24,1,1
293,1460,2025-05-02 16:14:00,americano,situation,3,0,0
294,1462,2025-03-20 08:51:00,tea,situation,28,1,1
295,1483,2025-08-16 19:13:00,tea,situation,30,0,0
296,1484,2025-09-06 12:52:00,ade,situation,18,1,1
297,1502,2025-01-04 17:12:00,espresso,suggest,1,0,0
298,1503,2025-09-01 20:55:00,latte,situation,10,0,0
299,1506,2025-01-24 14:44:00,non-coffee,suggest,14,1,1
300,1512,2025-12-27 12:53:00,tea,situation,27,1,0
301,1523,2025-08-21 13:15:00,frappe,suggest,13,0,0
302,1524,2025-08-31 13:43:00,coldbrew,situation,7,0,0
303,1528,2025-09-05 09:58:00,frappe,suggest,13,0,0
304,1537,2025-02-03 20:35:00,ade,situation,19,0,0
305,1539,2025-08-29 16:33:00,frappe,suggest,12,0,0
306,1541,2025-01-10 13:47:00,tea,situation,15,0,0
307,1547,2025-07-27 11:17:00,coldbrew,situation,7,0,0
308,1549,2025-03-01 20:13:00,smoothie,suggest,20,0,0
309,1555,2025-08-11 16:20:00,espresso,situation,1,1,1
310,1564,2025-11-12 13:39:00,juice,situation,22,1,1
311,1567,2025-07-28 15:45:00,tea,situation,17,0,0
312,1567,2025-07-28 15:45:00,ade,suggest,24,1,0
313,1574,2025-04-20 12:56:00,latte,situation,5,1,1
314,1578,2025-03-25 17:10:00,smoothie,suggest,32,1,1
315,1578,2025-03-25 17:10:00,latte,situation,5,0,0
316,1579,2025-10-11 15:37:00,frappe,situation,26,0,0
317,1581,2025-01-13 07:40:00,ade,situation,24,0,0
318,1594,2025-09-29 13:06:00,tea,suggest,31,1,0
319,1619,2025-10-14 19:10:00,smoothie,situation,32,1,1
320,1620,2025-11-14 18:56:00,latte,situation,23,0,0
321,1648,2025-06-29 19:01:00,tea,situation,16,1,0
322,1649,2025-08-06 12:19:00,non-coffee,situation,14,1,1
323,1651,2025-01-12 16:44:00,frappe,situation,12,1,0
324,1660,2025-05-24 15:51:00,ade,suggest,18,1,0
325,1664,2025-02-15 08:14:00,coldbrew,situation,8,1,1
326,1664,2025-02-15 08:14:00,tea,situation,29,0,0
327,1677,2025-04-30 21:52:00,juice,situation,22,0,0
328,1680,2025-02-10 16:06:00,tea,suggest,31,0,0
329,1693,2025-08-23 12:55:00,americano,situation,3,1,1
330,1705,2025-03-21 15:51:00,smoothie,suggest,21,1,1
331,1708,2025-04-02 18:14:00,tea,suggest,31,1,0
332,1731,2025-04-22 12:18:00,latte,suggest,11,1,1
333,1736,2025-04-17 11:26:00,tea,suggest,17,0,0
334,1736,2025-04-17 11:26:00,non-coffee,situation,14,1,1
335,1745,2025-06-26 14:12:00,non-coffee,situation,14,1,1
336,1750,2025-11-21 20:43:00,drip,suggest,9,0,0
337,1752,2025-05-01 12:47:00,tea,suggest,30,1,0
338,1752,2025-05-01 12:47:00,tea,suggest,30,1,1
339,1768,2025-01-11 22:50:00,latte,situation,10,1,1
340,1768,2025-01-11 22:50:00,smoothie,situation,32,0,0
341,1772,2025-09-30 15:30:00,cappuccino,situation,6,0,0
342,1772,2025-09-30 15:30:00,tea,suggest,30,1,1
343,1779,2025-08-30 14:22:00,latte,situation,4,1,1
344,1781,2025-01-17 07:50:00,latte,suggest,23,0,0
345,1782,2025-03-07 08:36:00,americano,suggest,2,1,1
346,1793,2025-07-02 14:10:00,frappe,suggest,25,0,0
347,1793,2025-07-02 14:10:00,non-coffee,situation,14,0,0
348,1795,2025-01-17 20:48:00,tea,situation,31,1,0
349,1796,2025-02-24 12:39:00,latte,situation,4,1,1
350,1802,2025-11-02 12:42:00,americano,situation,3,1,0
351,1802,2025-11-02 12:42:00,ade,suggest,19,1,1
352,1808,2025-08-03 09:46:00,americano,situation,3,0,0
353,1808,2025-08-03 09:46:00,tea,suggest,30,0,0
354,1822,2025-07-13 11:06:00,latte,situation,23,0,0
355,1822,2025-07-13 11:06:00,frappe,situation,13,1,0
356,1831,2025-03-22 21:09:00,americano,situation,2,1,1
357,1833,2025-09-18 16:36:00,tea,situation,30,0,0
358,1834,2025-07-07 16:13:00,tea,situation,15,0,0
359,1834,2025-07-07 16:13:00,americano,situation,2,0,0
360,1844,2025-11-24 07:44:00,espresso,situation,1,0,0
361,1845,2025-12-03 14:12:00,latte,situation,10,0,0
362,1860,2025-06-09 08:44:00,juice,situation,22,1,1
363,1868,2025-11-04 18:47:00,tea,situation,17,0,0
364,1870,2025-09-15 13:59:00,espresso,suggest,1,1,0
365,1870,2025-09-15 13:59:00,coldbrew,situation,7,0,0
366,1873,2025-12-27 15:52:00,frappe,suggest,25,0,0
367,1878,2025-05-23 11:34:00,americano,situation,3,1,0
368,1883,2025-06-22 17:13:00,ade,situation,18,1,0
369,1883,2025-06-22 17:13:00,americano,situation,2,0,0
370,1884,2025-06-08 16:29:00,espresso,suggest,1,1,0
371,1884,2025-06-08 16:29:00,cappuccino,situation,6,1,1
372,1886,2025-10-21 11:26:00,latte,suggest,4,0,0
373,1888,2025-10-23 15:31:00,tea,situation,30,1,1
374,1911,2025-01-07 08:21:00,tea,situation,15,0,0
375,1913,2025-12-14 15:27:00,coldbrew,suggest,7,0,0
376,1916,2025-03-03 12:20:00,tea,situation,31,1,0
377,1918,2025-01-23 15:46:00,tea,situation,15,1,1
378,1918,2025-01-23 15:46:00,frappe,situation,25,0,0
379,1923,2025-10-26 13:39:00,tea,situation,27,1,1
380,1924,2025-03-23 08:46:00,drip,situation,9,1,0
381,1929,2025-12-07 12:57:00,frappe,situation,12,1,1
382,1935,2025-09-12 12:43:00,ade,suggest,19,1,0
383,1937,2025-06-12 16:19:00,tea,suggest,16,1,0
384,1939,2025-12-29 16:33:00,latte,situation,4,0,0
385,1939,2025-12-29 16:33:00,frappe,suggest,25,1,1
386,1943,2025-09-12 18:57:00,frappe,situation,26,0,0
387,1950,2025-11-21 07:33:00,latte,situation,11,0,0
388,1950,2025-11-21 07:33:00,americano,situation,2,0,0
389,1965,2025-08-02 15:31:00,smoothie,situation,32,1,0
390,1967,2025-09-29 08:38:00,espresso,situation,1,1,0
391,1968,2025-03-06 08:15:00,americano,suggest,2,1,0
392,1971,2025-02-14 16:52:00,tea,situation,15,1,0
393,1971,2025-02-14 16:52:00,smoothie,situation,20,1,0
394,1977,2025-02-23 13:53:00,frappe,situation,25,0,0
395,1985,2025-12-18 20:07:00,ade,situation,18,0,0
396,1990,2025-07-14 14:55:00,non-coffee,situation,14,0,0
397,1999,2025-07-24 16:35:00,tea,situation,27,1,0
398,2002,2025-01-14 12:07:00,tea,suggest,31,0,0
399,2003,2025-12-22 11:42:00,frappe,situation,12,0,0
400,2009,2025-06-13 19:39:00,smoothie,situation,32,0,0
401,2009,2025-06-13 19:39:00,ade,situation,18,0,0
402,2017,2025-03-28 15:52:00,smoothie,situation,21,1,1
403,2017,2025-03-28 15:52:00,frappe,situation,26,0,0
404,2039,2025-04-25 17:43:00,latte,suggest,4,1,1
405,2046,2025-02-02 13:29:00,tea,situation,16,1,1
406,2046,2025-02-02 13:29:00,americano,situation,2,1,1
407,2053,2025-03-25 13:07:00,smoothie,situation,21,1,0
408,2053,2025-03-25 13:07:00,latte,situation,5,1,1
409,2054,2025-07-10 14:21:00,tea,situation,29,1,0
410,2054,2025-07-10 14:21:00,latte,suggest,23,0,0
411,2060,2025-05-27 07:08:00,cappuccino,suggest,6,1,1
412,2068,2025-10-25 13:37:00,coldbrew,suggest,8,1,0
413,2068,2025-10-25 13:37:00,latte,situation,10,1,1
414,2069,2025-04-20 19:07:00,americano,situation,3,1,0
415,2071,2025-03-03 16:40:00,frappe,situation,13,1,1
416,2084,2025-02-06 07:13:00,latte,suggest,10,1,0
417,2084,2025-02-06 07:13:00,ade,situation,24,0,0
418,2092,2025-10-20 15:31:00,frappe,situation,12,0,0
419,2102,2025-12-06 16:25:00,tea,situation,31,0,0
420,2102,2025-12-06 16:25:00,smoothie,situation,20,1,0
421,2122,2025-07-25 13:39:00,smoothie,suggest,21,1,0
422,2125,2025-11-04 18:20:00,smoothie,suggest,21,0,0
423,2126,2025-01-17 09:16:00,tea,situation,29,1,0
424,2135,2025-07-31 16:04:00,tea,situation,27,0,0
425,2144,2025-06-15 09:37:00,smoothie,situation,32,0,0
426,2145,2025-09-26 16:58:00,americano,suggest,3,0,0
427,2147,2025-08-11 16:42:00,ade,situation,19,1,0
428,2156,2025-10-19 12:22:00,drip,suggest,9,0,0
429,2163,2025-01-13 17:58:00,frappe,situation,13,0,0
430,2164,2025-07-06 20:20:00,smoothie,situation,21,1,0
431,2181,2025-05-13 18:40:00,tea,situation,28,0,0
432,2181,2025-05-13 18:40:00,smoothie,situation,21,0,0
433,2186,2025-05-08 11:54:00,tea,situation,27,1,1
434,2191,2025-07-16 12:36:00,frappe,situation,26,1,0
435,2191,2025-07-16 12:36:00,tea,situation,27,1,0
436,2197,2025-11-16 19:16:00,latte,situation,4,0,0
437,2204,2025-08-13 12:22:00,juice,situation,22,0,0
438,2226,2025-07-22 16:14:00,tea,situation,17,0,0
439,2227,2025-07-10 15:19:00,espresso,situation,1,1,1
440,2230,2025-05-24 13:45:00,tea,suggest,29,0,0
441,2234,2025-02-22 15:57:00,smoothie,situation,21,0,0
442,2234,2025-02-22 15:57:00,ade,situation,24,0,0
443,2245,2025-06-03 17:32:00,tea,situation,28,1,1
444,2247,2025-12-09 13:28:00,latte,situation,23,0,0
445,2249,2025-03-19 20:46:00,tea,situation,31,0,0
446,2266,2025-10-07 17:24:00,tea,suggest,16,0,0
447,2266,2025-10-07 17:24:00,tea,situation,17,0,0
448,2281,2025-07-19 08:30:00,latte,situation,11,1,1
449,2282,2025-09-02 08:45:00,latte,suggest,5,0,0
450,2283,2025-12-08 14:28:00,tea,situation,28,0,0
451,2286,2025-09-18 16:21:00,ade,situation,19,1,1
452,2292,2025-01-03 09:44:00,latte,situation,4,1,0
453,2331,2025-04-18 18:46:00,tea,situation,15,1,1
454,2331,2025-04-18 18:46:00,non-coffee,situation,14,0,0
455,2337,2025-12-21 16:10:00,frappe,situation,12,0,0
